다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 대구,대구(기)
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,204.8,
 1980-04,221.4,
 1980-05,269.5,
 1980-06,193.4,
 1980-07,113.0,
 1980-08,73.0,
 1980-09,211.6,
 1981-03,219.4,404.85
 1981-04,221.1,481.64
 1981-05,239.1,543.25
 1981-06,177.1,440.40
 1981-07,154.4,403.44
 1981-08,179.3,419.72
 1981-09,212.1,392.31
 1982-03,217.1,444.18
 1982-04,216.4,461.41
 1982-05,234.1,570.10
 1982-06,251.2,539.28
 1982-07,163.2,457.38
 1982-08,171.5,443.72
 1982-09,205.9,446.50
 1983-03,213.9,412.04
 1983-04,197.7,439.56
 1983-05,249.9,553.99
 1983-06,240.8,513.18
 1983-07,178.7,427.29
 1983-08,201.2,454.71
 1983-09,149.3,337.48
 1984-03,230.1,386.71
 1984-04,181.9,422.69
 1984-05,272.5,590.96
 1984-06,189.7,485.29
 1984-07,189.7,500.49
 1984-08,199.1,481.46
 1984-09,164.6,388.28
 1985-03,196.0,400.25
 1985-04,235.3,532.40
 1985-05,223.4,545.46
 1985-06,173.5,463.03
 1985-07,197.2,479.05
 1985-08,196.4,452.23
 1985-09,142.0,342.60
 1986-03,208.9,443.03
 1986-04,248.5,551.69
 1986-05,256.4,586.72
 1986-06,167.7,475.65
 1986-07,131.9,424.08
 1986-08,170.9,496.88
 1986-09,171.6,387.92
 1987-03,192.3,392.07
 1987-04,220.2,501.53
 1987-05,236.6,541.99
 1987-06,229.1,563.87
 1987-07,133.4,392.52
 1987-08,127.7,383.34
 1987-09,201.3,452.29
 1988-03,180.6,409.35
 1988-04,233.8,532.95
 1988-05,214.0,547.60
 1988-06,164.6,493.41
 1988-07,121.6,407.33
 1988-08,179.3,430.45
 1988-09,140.0,365.88
 1989-03,195.7,414.65
 1989-04,249.4,531.86
 1989-05,223.8,563.43
 1989-06,194.1,499.37
 1989-07,142.2,425.58
 1989-08,192.6,496.47
 1989-09,119.8,337.27
 1990-03,195.8,386.44
 1990-04,208.7,445.14
 1990-05,225.0,508.29
 1990-06,168.0,442.91
 1990-07,183.6,470.09
 1990-08,242.7,518.43
 1990-09,152.1,335.67
 1991-03,174.0,380.81
 1991-04,236.5,511.22
 1991-05,245.8,587.24
 1991-06,201.0,524.17
 1991-07,109.4,381.37
 1991-08,171.5,462.24
 1991-09,165.0,362.36
 1992-03,139.3,302.74
 1992-04,215.3,494.95
 1992-05,241.8,605.92
 1992-06,218.9,546.29
 1992-07,235.2,574.49
 1992-08,124.2,367.55
 1992-09,154.7,355.09
 1993-03,209.7,403.73
 1993-04,246.7,518.75
 1993-05,230.0,577.94
 1993-06,141.1,430.06
 1993-07,133.5,432.15
 1993-08,100.8,336.98
 1993-09,170.7,410.83
 1994-03,217.7,452.96
 1994-04,197.8,467.96
 1994-05,226.2,541.55
 1994-06,215.7,543.38
 1994-07,270.0,572.59
 1994-08,238.0,537.74
 1994-09,243.1,483.33
 1995-03,202.8,403.22
 1995-04,255.1,529.58
 1995-05,236.1,518.12
 1995-06,205.4,518.67
 1995-07,164.4,443.54
 1995-08,212.3,485.39
 1995-09,169.6,360.63
 1996-03,179.8,312.08
 1996-04,262.8,473.38
 1996-05,239.0,470.65
 1996-06,121.6,340.17
 1996-07,177.6,442.66
 1996-08,198.8,469.41
 1996-09,189.9,386.77
 1997-03,214.9,425.06
 1997-04,226.2,495.17
 1997-05,200.0,516.80
 1997-06,205.1,528.15
 1997-07,161.1,438.23
 1997-08,145.5,424.62
 1997-09,179.0,416.00
 1998-03,223.7,429.32
 1998-04,167.8,411.56
 1998-05,209.1,519.07
 1998-06,121.6,399.18
 1998-07,113.1,391.07
 1998-08,120.1,363.15
 1998-09,162.8,365.51
 1999-03,176.2,351.24
 1999-04,233.6,506.28
 1999-05,279.2,608.76
 1999-06,193.9,500.74
 1999-07,118.4,397.95
 1999-08,128.4,380.50
 1999-09,131.2,355.64
 2000-03,249.0,518.29
 2000-04,211.1,523.90
 2000-05,220.6,582.23
 2000-06,159.6,511.27
 2000-07,189.2,537.90
 2000-08,151.6,442.20
 2000-09,136.4,365.57
 2001-03,231.4,481.38
 2001-04,261.0,595.83
 2001-05,224.0,606.41
 2001-06,161.8,499.36
 2001-07,200.4,558.82
 2001-08,177.9,496.03
 2001-09,199.7,451.89
 2002-03,210.7,462.51
 2002-04,216.4,521.43
 2002-05,207.2,561.45
 2002-06,227.4,593.04
 2002-07,130.6,463.52
 2002-08,101.7,363.37
 2002-09,181.6,431.40
 2003-03,179.3,427.59
 2003-04,189.8,467.88
 2003-05,197.9,543.90
 2003-06,142.9,461.05
 2003-07,91.2,375.76
 2003-08,119.3,416.66
 2003-09,133.3,364.73
 2004-03,236.6,493.64
 2004-04,244.0,557.83
 2004-05,191.3,525.88
 2004-06,176.9,521.31
 2004-07,182.5,520.40
 2004-08,142.6,443.31
 2004-09,115.3,351.90
 2005-03,244.8,525.05
 2005-04,237.7,592.00
 2005-05,261.5,694.14
 2005-06,213.1,602.38
 2005-07,135.3,488.96
 2005-08,145.1,411.31
 2005-09,115.6,352.74
 2006-03,233.0,438.35
 2006-04,176.0,426.87
 2006-05,181.7,480.66
 2006-06,197.1,510.97
 2006-07,77.5,300.33
 2006-08,211.9,457.73
 2006-09,151.3,388.31
 2007-03,181.9,414.17
 2007-04,215.7,513.87
 2007-05,234.5,613.17
 2007-06,142.0,479.74
 2007-07,121.0,421.17
 2007-08,152.7,444.50
 2007-09,95.9,308.39
 2008-03,201.3,465.25
 2008-04,210.4,541.74
 2008-05,225.7,631.98
 2008-06,125.8,496.20
 2008-07,139.2,525.63
 2008-08,185.9,538.94
 2008-09,157.4,438.72
 2009-03,209.8,492.20
 2009-04,239.3,578.65
 2009-05,241.7,636.34
 2009-06,180.3,565.42
 2009-07,77.1,417.13
 2009-08,124.2,466.58
 2009-09,168.7,454.29
 2010-03,120.0,349.02
 2010-04,156.7,475.65
 2010-05,224.1,601.07
 2010-06,207.1,596.30
 2010-07,115.1,452.30
 2010-08,144.5,458.49
 2010-09,152.1,398.36
 2011-03,260.8,533.88
 2011-04,224.3,529.36
 2011-05,180.6,534.80
 2011-06,177.7,546.57
 2011-07,125.6,456.67
 2011-08,102.4,401.91
 2011-09,154.7,413.59
 2012-03,210.1,471.41
 2012-04,243.9,593.66
 2012-05,240.0,639.90
 2012-06,190.6,573.75
 2012-07,203.8,572.04
 2012-08,188.2,511.32
 2012-09,204.5,475.40
 2013-03,271.8,569.91
 2013-04,242.0,561.93
 2013-05,264.3,676.87
 2013-06,205.5,614.20
 2013-07,208.2,578.78
 2013-08,247.8,593.61
 2013-09,194.0,459.22
 2014-03,219.4,474.70
 2014-04,211.1,542.89
 2014-05,304.3,761.34
 2014-06,161.8,538.07
 2014-07,193.0,564.50
 2014-08,122.1,388.85
 2014-09,209.8,477.56
 2015-03,271.4,566.32
 2015-04,184.9,488.72
 2015-05,309.6,750.05
 2015-06,159.7,534.92
 2015-07,150.2,484.24
 2015-08,178.0,500.66
 2015-09,197.9,455.78
 2016-03,205.4,459.30
 2016-04,198.4,507.00
 2016-05,275.1,655.45
 2016-06,182.3,524.66
 2016-07,173.4,516.26
 2016-08,263.1,598.37
 2016-09,98.1,325.16
 2017-03,235.4,490.83
 2017-04,241.3,575.09
 2017-05,283.6,668.09
 2017-06,257.2,664.08
 2017-07,139.3,475.51
 2017-08,205.7,535.56
 2017-09,216.0,473.31
 2018-03,219.3,470.41
 2018-04,247.6,559.89
 2018-05,203.8,569.94
 2018-06,201.5,575.54
 2018-07,225.4,583.52
 2018-08,219.8,544.94
 2018-09,142.6,391.07
 2019-03,235.8,500.70
 2019-04,188.1,480.63
 2019-05,295.6,702.36
 2019-06,238.9,620.60
 2019-07,156.3,487.33
 2019-08,198.7,515.88
 2019-09,137.0,379.27
 2020-03,246.1,540.59
 2020-04,273.7,647.86
 2020-05,241.7,661.45
 2020-06,226.4,632.61
 2020-07,96.7,421.05
 2020-08,193.5,534.44
 2020-09,150.1,409.03
 2021-03,204.0,489.34
 2021-04,247.0,616.96
 2021-05,209.9,598.19
 2021-06,185.4,594.91
 2021-07,216.1,608.97
 2021-08,130.7,453.30
 2021-09,128.4,402.76
 2022-03,206.4,479.66
 2022-04,253.3,614.53
 2022-05,313.3,774.85
 2022-06,205.9,603.39
 2022-07,180.5,569.60
 2022-08,139.1,449.78
 2022-09,168.4,453.26
 평균,192.8,488.05

